number,name,contact,website_link,latitude,longitude,address,ownership,type_of_hospital,specialized_hospital,medical_college,avaleabale_bed,cost_ratings,service_ratings,icu_iccu,nicu,online_survice,emergency_suppory,ambulence_support,basic_ambulence,motorcycle-ambulance,neonatology_ambulence,life_support_ambulance,advanced_life_support_ambulance,source
45,Relife Medical Center,,https://relife-medical-center.business.site/?utm_source=gmb&utm_medium=referral,23.69997,90.4586,4th Floor Sayed Ashraf Bhavan H- 42/1 Rd No. 5,Private hospital,Clinic,all,0,,,4.8,,,,,,,,,,,
46,Fatima General Hospital,,,23.70066,90.4298,VCV3+42F R301,Private hospital,Hospital,all,0,,,3.9,,,,,,,,,,,
47,Al-Madina Nursing Home & Diagonstic Center,01712-204375,_,23.70099,90.4568,1726 North Rayerbag 1st Floor Hazi Wadud Market Dhaka 1362 Bangladesh,Private hospital,Diagnostic,all,0,,3,3,0,0,0,0,1,1,1,0,0,0,
48,SAJIDA HOSPITAL,,_,23.70114,90.5142,Sajida Hospital N1 Siddhirganj Bangladesh,Private hospital,Hospital,all,0,,_,_,0,0,0,0,1,1,1,0,0,0,
50,Eastern Care Hospital Limited,,,23.70185,90.4354,7/3Gate 2 Block # A,Private hospital,Hospital,all,0,,,3.4,,,,,,,,,,,
51,Bangladesh Critical Care and General Hospital Ltd,,,23.70185,90.4354,2/8-A Road 3 Block # A,Private hospital,Hospital,all,0,,,4.6,,,,,,,,,,,
52,Health Care Urology & General Hospital Ltd.,,,23.70185,90.4354,1086/B Habibullah Rd,Private hospital,Hospital,all,0,,,3,,,,,,,,,,,
53,Safe Care General Hospital,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.70185,90.4354,106 West Dholaipar Jatrabari Dhaka,Private hospital,Hospital,all,0,,,3.5,,,,,,,,,,,
54,Chowdhury General Hospital,,,23.70185,90.4354,73 Nazimuddin Rd,Private hospital,Hospital,all,0,,,4,,,,,,,,,,,
55,National Health Care General Hospital,,,23.70185,90.4354,22 14 B Khilji Rd,Private hospital,Hospital,all,0,,,4.2,,,,,,,,,,,
56,Deshbangla Hospital & Diagnostic Centre,01919-546690,dbgh.webs.com,23.70254,90.4486,26 Shonir Akhra - Dania Rd Dhaka 1236 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3,4.1,0,0,0,0,1,1,1,0,0,0,https://dbgh.webs.com/
57,Sheba General Hospital & Diagnostic Center,,,23.70328,90.4506,Q9F8+2J8 Khilji Rd,Private hospital,Diagnostic,Diagnostic,0,,,3.7,,,,,,,,,,,
58,ABDUL HAMID FOUNDATION HOSPITAL,01959-923452,_,23.70332,90.3801,P93J+82G Kalindi Rd Keraniganj Bangladesh,Private hospital,Hospital,all,0,,_,3,0,0,0,0,1,1,1,0,0,0,
59,Mary Orthopedic General Hospital and Diagnosis Center,,,23.70384,90.4507,Q9H9+7VP,Private hospital,Hospital,Orthopedic,0,,,3.5,,,,,,,,,,,
60,Popular Consultation Centre 2,,https://www.populardiagnostic.com/,23.70388,90.4508,House -2 5 Road No. 2,Private hospital,Hospital,all,0,,,3.3,,,,,,,,,,,
61,Al Biruni Hospital And Diagnostic Service,,,23.70603,90.4451,3 Mirpur Rd,Private hospital,Diagnostic,Diagnostic,0,,,5,,,,,,,,,,,
62,Uttara Modern Hospital,,https://umhlbd.business.site/,23.70767,90.4345,V99W+4Q5 Rabindra Sarani,Private hospital,Hospital,all,0,,,3.9,,,,,,,,,,,
63,Modern Hospital,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.70767,90.4345,PC76+CMG,Private hospital,Hospital,all,0,,,4.8,,,,,,,,,,,
64,Sumona Hospital,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.70769,90.4101,PC55+5X5,Private hospital,Hospital,all,0,,,3.8,,,,,,,,,,,
65,ASGAR ALI HOSPITAL,10602,https://www.asgaralihospital.com/,23.7077,90.4237,???/?/ A ?????????? ??? ?????????? ??????? ????? ??????? ???? ????? ???? Dhaka 1204 Bangladesh,Private hospital,Hospital,all,0,200,3.4,4,1,0,1,1,1,1,1,0,0,0,https://www.asgaralihospital.com/
66,Wari Golden Hospital & Diagnostic Center,,https://hospital-2785.business.site/,23.70814,90.4385,06 Wyer St,Private hospital,Hospital,Dental,0,,,4,,,,,,,,,,,
67,Islami General Hospital and Diagnostic Center,,,23.70814,90.4385,62 63 manipur shekh Kamal road Kamal Soroni Rd,Private hospital,Diagnostic,Diagnostic,0,,,4.3,,,,,,,,,,,
68,Arafat General Hospital & Diagnostic Center,,,23.70814,90.4385,81/B-2 Hosni Dalal Road Chankharpool,Private hospital,Diagnostic,Diagnostic,0,,,5,,,,,,,,,,,
69,People's Life Digonistic Center,,,23.70872,90.4972,PCMH+4MV,Private hospital,Diagnostic,all,0,,,3,,,,,,,,,,,
70,South Asia Eye Hospital,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.70894,90.4345,PC5M+GM5 Dhaka - Mawa Hwy,Private hospital,Hospital,Eye,0,,,5,,,,,,,,,,,
71,Al Baraka Diagnostic Complex ltd,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.70905,90.4301,PC5M+W68 Dhaka - Sylhet Hwy,Private hospital,Diagnostic,Diagnostic,0,,,3.6,,,,,,,,,,,
72,Bismillah Dental Home,,,23.70918,90.429,161 Lake Circus (Abed Dhali Road),Private hospital,Clinic,Dental,0,,,5,,,,,,,,,,,
73,New Padma Lab,,_,23.70918,90.4344,Kazi Tower 123/1/2 South Jatrabari Dhaka 1204 Dhaka Bangladesh ???? 1204 Bangladesh,Private hospital,Diagnostic,all,0,,_,_,0,0,0,0,1,1,1,0,0,0,
74,Medicine Pius,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.70931,90.3867,QCRG+X3M,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
75,Supreme Medical Services Limited,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.70933,90.432,38 Shahid Faroque Rd,Private hospital,Clinic,all,0,,,3,,,,,,,,,,,
76,Medicom General Hospital,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.70944,90.4294,Mona Tower Shahid Faroque Rd,Government hospital,Hospital,all,0,,,3.6,,,,,,,,,,,
77,Medi Hope General Hospital,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.70944,90.4294,PF79+2W3,Private hospital,Hospital,all,0,,,3.9,,,,,,,,,,,
78,SAMAKAL DIAGNOSTIC COMPLEX,01727-427045,_,23.70957,90.4324,36/A Shahid Faruqe Road Dhaka 1204 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3,_,0,0,0,0,1,1,0,0,0,0,
79,BIHS General Hospital,,http://www.bihsh.org.bd/,23.70957,90.4328,125 1 Darus Salam Rd,Private hospital,Hospital,all,0,,,4.1,,,,,,,,,,,
80,Prime General Hospital,,,23.70957,90.4328,W97W+68C Dhaka - Mymensingh Hwy,Private hospital,Hospital,all,0,,,3.3,,,,,,,,,,,
81,Ibrahim General Hospital,,http://www.agbf.webs.com/,23.70957,90.4328,House 42 Rd 10/A,Government hospital,Hospital,all,0,,,4.8,,,,,,,,,,,
82,Jatrabari General Hospital Ltd,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.70957,90.4328,PC5Q+698,Private hospital,Hospital,all,0,,,4.5,,,,,,,,,,,
83,Al-Karim General Hospital Ltd,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.70957,90.4328,PC7J+68Q,Private hospital,Hospital,all,0,,,3.9,,,,,,,,,,,
84,BIRDEM General Hospital,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.70957,90.4328,122 Kazi Nazrul Islam Ave,Government hospital,Hospital,Diabetice,0,,,4.3,,,,,,,,,,,
85,Shaheed Khalek-Ibrahim General Hospital,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.70957,90.4328,4 1 Rankin St,Private hospital,Hospital,all,0,,,4.1,,,,,,,,,,,
86,Al-Karim General Hospital Limited,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.70957,90.4328,Haji Borhanuddin tower 17/A Uttar,Government hospital,Hospital,all,0,,,4.3,,,,,,,,,,,
87,Arimo General Hospital,,,23.70957,90.4328,Plot A/8 Demra Road Basherpul,Government hospital,Hospital,all,0,,,4,,,,,,,,,,,
88,BIRDEM General Hospital 2 (Child and Mother),,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.70957,90.4328,1/A Segun Bagicha Rd,Government hospital,Hospital,mother and chield,0,,,4.1,,,,,,,,,,,
89,M. Rahman Medical & Diagnostic Center,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.70962,90.4264,Closed,Private hospital,Diagnostic,Diagnostic,0,,,,,,,,,,,,,,
90,MADINA MEDICAL AND DIAGNOSTIC CENTER,01711-661806,_,23.70964,90.4265,34 Doyagonj New Rd Dhaka 1204 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3.3,3.6,0,0,0,0,1,1,1,0,0,0,
91,Safwan General Hospital & Diagnostic Center,,_,23.70968,90.3673,P958+VWG Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,1,1,1,0,0,0,
92,Cardio Care Specialized and General Hospital,,http://cardiocarebd.com/,23.71019,90.4242,House no: 88 38 Road Sonargaon Janapath,Government hospital,Hospital,all,0,,,,,,,,,,,,,,
93,Meccaa Medina General Hospital,,,23.71019,90.4242,Block-B 21/14 Babar roadhaka,Government hospital,Hospital,all,0,,,5,,,,,,,,,,,
94,Medi Bangla General Hospital,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.71019,90.4242,PC4J+7W5 New Road,Private hospital,Hospital,all,0,,,4,,,,,,,,,,,
95,SUSPharma,,,23.71041,90.3809,·,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
96,Jatrabari Eye Hospital,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.7106,90.4271,Mona Tower 16/A Sahid Muktijoddha Faruk Iqbal And Taslim Rd,Private hospital,Hospital,Eye,0,,,4,,,,,,,,,,,
97,BRAC TB office,,,23.71068,90.4242,26-1 Mirpur Rd,Private hospital,Hospital,tb,0,,,,,,,,,,,,,,
98,DR. AZMAL HOSPITAL LTD.,,http://azmalhospital.com/,23.71102,90.4017,Plot 5 Rd No. 4,Private hospital,Hospital,all,0,,,3.8,,,,,,,,,,,
99,Alpha Hospital LTD.,,,23.71102,90.4017,17 D.C RAY Rd,Private hospital,Hospital,all,0,,,4.3,,,,,,,,,,,
100,BRB Hospitals Limited,,http://www.brbhospital.com/,23.71109,90.4841,77/A Panthapath,Private hospital,Hospital,all,0,,,3.8,,,,,,,,,,,
101,Uttara Mother and Child Hospital limited,,,23.71109,90.4841,Opposite of Shin shin japan Hospital House 36 Gareeb-e-Nawaz Ave,Private hospital,Hospital,all,0,,,3.4,,,,,,,,,,,
102,Dhaka Paediatric-Neonatal & General Hospital Limited,,,23.71109,90.4841,Rangs Nilu Square House# 75 Road no# 5/A Satmasjid Road,Private hospital,Hospital,all,0,,,4,,,,,,,,,,,
103,Long life Hospital Limited,,http://www.longlifehospital.org/,23.71109,90.4841,Q92H+3P7 Mirpur Rd,Private hospital,Hospital,all,0,,,3.8,,,,,,,,,,,
104,New Life Hospital Limited,,https://new-life-hospital-limited.business.site/?utm_source=gmb&utm_medium=referral,23.71109,90.4841,25/A Green Rd,Private hospital,Hospital,all,0,,,3.4,,,,,,,,,,,
105,Baridhara General Hospital Limited,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.71109,90.4841,Yes,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
106,Dr. Fazlul Haque Colorectal Hospital Limited,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.71109,90.4841,726/A Satmasjid Road,Private hospital,Hospital,all,0,,,4,,,,,,,,,,,
107,Remedy Care Hospital Limited,,,23.71109,90.4841,Muktijuddha Tower,Private hospital,Hospital,all,0,,,3.5,,,,,,,,,,,
108,Ahmed Medical Center Limited,,,23.71178,90.402,71/1 Satmasjid Road Sankar Bus Stand er Kache,Private hospital,Diagnostic,all,0,,,3.8,,,,,,,,,,,
109,Delta Medical Center Ltd,,,23.71178,90.402,27 Road 01,Private hospital,Clinic,all,0,,,4.7,,,,,,,,,,,
110,Bgmea Medical Center,,,23.71178,90.402,House-16/A Road-16 Sector-4 Uttara,Private hospital,Clinic,all,0,,,3.1,,,,,,,,,,,
111,M/S Jakir Medical center,,,23.71178,90.402,V9MC+8C7 Unnamed Road,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
112,Tulip Medical Center,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.71178,90.402,90/A premier plaza north,Private hospital,Clinic,all,0,,,3.7,,,,,,,,,,,
113,Quest Medical Centre,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.71178,90.402,GA-2 1 Bir Uttam Rafiqul Islam Ave,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
114,ANAS MEDICAL CENTER,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.71178,90.402,Closed,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
115,Rainbow Hearts Madical Centre,,https://www.rhmcbd.com/,23.71178,90.402,House No # 79 (2nd floor Block # J Airport Road Banani,Private hospital,Diagnostic,Heart,0,,,3.9,,,,,,,,,,,
116,PULSE MEDICAL CENTRE LTD.,,http://pulsemedicalbd.com/,23.71178,90.402,Block B House 111 Rd Number 4,Private hospital,Clinic,all,0,,,2.5,,,,,,,,,,,
117,GREENLAND MEDICAL CENTRE LTD,,http://greenlandmedicalltd.com/,23.71178,90.402,1 Gulshan Ave,Private hospital,Clinic,all,0,,,4,,,,,,,,,,,
118,Makkha Medical Centre,,http://www.makkhamedicalbd.com/,23.71178,90.402,28 & 30 Ahmed Tower level 3 Kamal Ataturk Ave,Private hospital,Clinic,all,0,,,4,,,,,,,,,,,
119,Star Cure Medical Centre,,,23.71178,90.402,10 Dhaka - Mymensingh Hwy,Private hospital,Clinic,all,0,,,3.7,,,,,,,,,,,
120,Dynamic Medical Centre,,,23.71178,90.402,Tower Flat 12/B Rupsha Plot 07 Rd No 17,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
121,MUSCAT MEDICAL CENTER,,,23.71178,90.402,H/101 Kakoli Dhaka - Mymensingh Hwy,Private hospital,Clinic,all,0,,,1.8,,,,,,,,,,,
122,CONFIDENCE MEDICAL CENTRE,,https://confidencemedicalcenter.com/,23.71178,90.402,191/1 1208 Bir Uttam Mir Shawkat Sarak,Private hospital,Clinic,Dental,0,,,,,,,,,,,,,,
123,BUET Medical Center,,,23.71178,90.402,BUET Campus Health Complex Fuller Road,Private hospital,Clinic,all,0,,,4.4,,,,,,,,,,,
124,Al-Arafat Hospital,01723-904035,_,23.71203,90.4014,39 Mitford Rd Dhaka Bangladesh,Private hospital,Hospital,all,0,,3,3.2,0,0,0,0,1,1,1,0,0,0,
125,Sir Salimullah Medical College,,,23.71223,90.4009,Mitford Rd,Government hospital,Medical college hospital,all,1,,,4.2,,,,,,,,,,,
126,DOCTORS CLINIC & HOSPITAL,01977-373888,_,23.71225,90.4011,35 No Mitford Rd Dhaka 1100 Bangladesh,Private hospital,Hospital,all,0,,_,3,0,0,0,0,1,1,1,0,0,0,
127,Doctors Lab & Hospital,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.7123,90.4009,Dhaka - Demra Hwy,Private hospital,Hospital,all,0,,,4.2,,,,,,,,,,,
128,Fair Health Medical Center,,,23.71231,90.4895,P9CX+XWQ Nazimuddin Rd,Private hospital,Diagnostic,all,0,,,4,,,,,,,,,,,
129,Royal Care & Surgical Hospital,,,23.71232,90.4007,P9FX+CV5 Hussaini Dalan Rd,Private hospital,Hospital,all,0,,,3.5,,,,,,,,,,,
130,Hossainia Dental care,,,23.71255,90.4187,RC47+3MJ কিশোরগঞ্জ - করিমগঞ্জ সড়ক,Private hospital,Clinic,Dental,0,,,,,,,,,,,,,,
131,Dr.kulsom,,,23.71302,90.416,IBN Sina Medical College and Hospital,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
132,CREDIT DIABETES & CARDIAC CENTER,,,23.71323,90.3996,VCC3+CQ7 Isakha Ave,Private hospital,Clinic,Diabetice,0,,,5,,,,,,,,,,,
133,Prarthona Rehabilitation center,,,23.71323,90.3996,330/4/ka/0 ঢাকা,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
134,Senior Citizen Hospital - Baridhara,,http://seniorcitizenhospital.com/,23.71325,90.3996,Senior Citizen Hospital House# 8 Road# 8 Baridhara Block# J Dhaka,Private hospital,Hospital,all,0,,,4.5,,,,,,,,,,,
135,Monowara Hospital Private Limited,,https://www.monowarahospital.com.bd/,23.71325,90.3996,54 Siddheswari Rd,Private hospital,Hospital,all,0,,,3.9,,,,,,,,,,,
136,CCU CMH Dhaka,,,23.71325,90.3996,R97X+985 C.M.H,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
137,UTPS,,,23.71325,90.3996,House 11 Road No 11,Private hospital,Hospital,all,0,,,3.9,,,,,,,,,,,
138,A.R.S,,,23.71325,90.3996,8 Road-04,Private hospital,Clinic,all,0,,,2,,,,,,,,,,,
139,Sunayana,,,23.71325,90.3996,23 Sonargaon Janapath,Private hospital,Clinic,all,0,,,3,,,,,,,,,,,
140,Dr. Khurshid Jahan,,,23.71325,90.3996,20 Rd 13,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
142,HHRIDS,,http://www.hhrids.com/,23.71325,90.3996,V9CX+X8Q Road-32,Private hospital,Hospital,all,0,,,4.5,,,,,,,,,,,
143,QuickMed,,http://quicktelemed.com/,23.71325,90.3996,House-38 Gareeb-e-Nawaz Ave,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
144,The liver centre,,,23.71325,90.3996,Dhanmondi 8/A Dhaka,Private hospital,Clinic,all,0,,,3.6,,,,,,,,,,,
145,American Center of Regenerative Health,,http://acrhbd.com/,23.71325,90.3996,House 8/A 12 Razzaque Villa Ka 14 Dhanmondi 13,Private hospital,Clinic,all,0,,,4.2,,,,,,,,,,,
146,SsHealthcarebd,,,23.71325,90.3996,Concept Tower Green Rd,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
147,Ashiq spelalista Hospital,,,23.71325,90.3996,Q9F8+6R3,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
